Carl's Jr,,,,,,
Famous Star with Cheese,3.99,670,37,28,57,1210
Super Star with Cheese,4.49,930,56,48,59,1540
Western Bacon Cheeseburger,3.99,730,34,33,74,1500
Double Western Bacon Cheeseburger,4.49,990,53,52,75,1820
Teriyaki Burger,3.99,630,29,28,65,1060
The Big Carl,4.49,920,58,47,56,1380
The Orignal Six Dollar Thickburger,4.99,940,58,44,62,1880
The Guacamole Bacon Thickburger,5.49,1090,75,47,57,1970
The Western Bacon Thickburger,5.49,980,55,49,74,2210
The Low Carb ThickBurger,2.89,550,41,38,9,1370
The Jalapeno Thickburger,5.49,980,65,43,55,1870
Big Hamburger,1.49,480,18,25,56,870
Turkey Burger,3.99,490,22,29,45,960
Guacamole Turkey Burger,3.99,480,19,32,44,1000
Teriyaki Turkey Burger,3.99,480,14,32,56,1120
Jalapeno Turkey Burger,3.49,500,22,31,43,1150
Charbroiled Atlantic Cod Fish Sandwich,4.49,390,11,20,52,780
Charbroiled Chicken Club Sandwich,4.49,580,28,36,46,1290
Charbroiled Santa Fe Chicken Sandwich,4.49,580,27,33,46,1290
Charbroiled BBQ Chicken Sandwich,4.49,390,7,30,50,990
Big Chicken Fillet Sandwich,3.99,760,41,35,65,2050
Bacon Swiss Crispy Chicken Sandwich,3.49,860,49,41,67,2540
Breakfast Burger,3.99,800,43,37,68,1380
Sourdough Breakfast Sandwich,2.99,470,24,28,40,1340
Steak & Egg Burrito,3.49,650,36,35,44,1730
