KFC,,,,,,
Doublicious Sandwich,3.69,530,27,30,42,1390
KFC Famous Bowl,3.99,650,26,32,73,2040
KFC Snacker,0.99,310,18,14,23,590
KFC Snacker x 2,1.99,620,36,28,46,1180
Biscuit x 2,0.99,360,16,8,46,1060
Honey BBQ Chicken Sandwich,1.99,320,35,24,47,770
Strips 3pc,3.95,380,20,33,17,940
Strips 6pc,7.05,760,40,66,34,1880
Strips 12pc,13.55,1140,60,99,51,2820
Mac & Cheese (Individual),1.49,170,6,2,22,830
Mac & Cheese (Large),2.99,425,15,5,46,1660
Potato Wedges (Individual),1.49,290,15,5,35,810
Potato Wedges (Large),2.99,1135,75,25,145,1820
Hot Wings (5),3.99,350,200,20,6,800
Hot Wings (10),7.49,700,400,40,12,1600
Hot Wings (20),13.49,1400,800,80,24,3200
Pot Pie,3.5,790,45,29,66,1970
Double Down,4.99,540,36,54,11,1620
Fiery Buffalo Hot Wings (5),3.99,350,20,20,25,1450
Fiery Buffalo Hot Wings (10),7.49,700,40,40,50,2900
Fiery Buffalo Hot Wings (20),13.49,1400,80,80,100,5800
Fiery Buffalo Hot Wings (20),13.49,1400,80,80,100,5800
